Archivo: DN419NG.jpg, Reconocido: IIQ64, Estado: FALLO SEGMENTACION
Archivo: FB761SN.jpg, Reconocido: FB6SN, Estado: FALLO SEGMENTACION
Archivo: AP645VY.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: IF18YMH.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 6923HJ2B.png, Reconocido: E923HJ2B, Estado: FALLO NN
Archivo: BM040RK.jpg, Reconocido: EBO4OB, Estado: FALLO SEGMENTACION
Archivo: DK436ET.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DC165MK.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: P0A3239.png, Reconocido: P0A3239, Estado: OK
Archivo: FG047WG.jpg, Reconocido: FG047G, Estado: FALLO SEGMENTACION
Archivo: 9348BN.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G803IA.png, Reconocido: GB3A, Estado: FALLO SEGMENTACION
Archivo: CQ699FC.jpg, Reconocido: CQ699FC4, Estado: FALLO SEGMENTACION
Archivo: 103YC68.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 7796ZA30.png, Reconocido: 77T6A3O, Estado: FALLO SEGMENTACION
Archivo: NNI282.png, Reconocido: NNI282, Estado: OK
Archivo: DQ200PB_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: SG59711.png, Reconocido: SS9, Estado: FALLO SEGMENTACION
Archivo: KPPIRAN5.png, Reconocido: KPPRAN5, Estado: FALLO SEGMENTACION
Archivo: FC882MC.jpg, Reconocido: G, Estado: FALLO SEGMENTACION
Archivo: KR336P.png, Reconocido: KR336, Estado: FALLO SEGMENTACION
Archivo: CE8670AX.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DD256CG.jpg, Reconocido: DDZ55CG, Estado: FALLO NN
Archivo: CE683HR.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B58BBP.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: W373KE.jpg, Reconocido: W, Estado: FALLO SEGMENTACION
Archivo: DUS170.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: CT038ZN_1.png, Reconocido: C058ZN, Estado: FALLO SEGMENTACION
Archivo: SCS635.png, Reconocido: 1SCS6, Estado: FALLO SEGMENTACION
Archivo: MGX1234.JPG, Reconocido: MEX1Z34, Estado: FALLO NN
Archivo: 812AYS06.jpg, Reconocido: KVXDLVROC, Estado: FALLO SEGMENTACION
Archivo: B0I9374.png, Reconocido: B0337Q, Estado: FALLO SEGMENTACION
Archivo: 381ATK83_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: B535SFI.png, Reconocido: B535SFI, Estado: OK
Archivo: BP78222.png, Reconocido: RBP78222, Estado: FALLO SEGMENTACION
Archivo: BS398KW.jpg, Reconocido: B, Estado: FALLO SEGMENTACION
Archivo: B75MCY.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: DP933CD.jpg, Reconocido: , Estado: FALLO SEGMENTACION
